"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",560,"33172",956,13,"Dade","Dade-33172","Miami","Sweetwater, Doral, Fountainebleau, Tamiami",269,"Dade-33172","Doral, Miami, Sweetwater, West Miami","2683",2683
"Florida",561,"33173",957,13,"Dade","Dade-33173","Miami","Glenvar Heights, Kendall, Olympia Heights, Sunset, Westwood Lakes",270,"Dade-33173","Miami","1315",1315
"Florida",562,"33174",958,13,"Dade","Dade-33174","Miami","Sweetwater, Fountainebleau, Tamiami, University Park, Westchester",271,"Dade-33174","Fort Lauderdale, Miami, South Miami, Sweetwater, West Miami","1883",1883
"Florida",563,"33175",959,13,"Dade","Dade-33175","Miami","Kendale Lakes, Kendall West, Tamiami, University Park, Westwood Lakes",272,"Dade-33175","Miami","3282",3282
"Florida",564,"33176",960,13,"Dade","Dade-33176","Miami","Palmetto Bay, Kendall, Palmetto Estates, Richmond Heights, Three Lakes",273,"Dade-33176","Doral, Miami, Palmetto Bay, Rices Landing","2329",2329
"Florida",565,"33177",961,13,"Dade","Dade-33177","Miami","Country Walk, Goulds, Palmetto Estates, Richmond Heights, Richmond West, South Miami Heights, Three Lakes, West Perrine",274,"Dade-33177","Homestead, Miami, Quail Heights","3363",3363
"Florida",567,"33179",964,13,"Dade","Dade-33179","Miami","North Miami Beach, Miami Gardens, Pembroke Park, West Park, Hallandale Beach, Ives Estates, Ojus",276,"Dade-33179","Coral Gables, Miami, Miami Gardens, North Miami Beach","1855",1855
"Florida",568,"33180",966,13,"Dade","Dade-33180","Miami","North Miami Beach, Sunny Isles Beach, Aventura, Coral Gables, Hallandale Beach, Coral Terrace, Ojus",277,"Dade-33180","Aventura, Miami","1116",1116
"Florida",569,"33181",967,13,"Dade","Dade-33181","Miami","North Miami Beach, North Miami, Golden Glades",278,"Dade-33181","Biscayne Park, Miami, North Miami, North Miami Beach","715",715
"Florida",570,"33182",968,13,"Dade","Dade-33182","Miami","Doral, Tamiami",279,"Dade-33182","Doral, Miami, Sweetwater, West Miami","737",737
"Florida",571,"33183",969,13,"Dade","Dade-33183","Miami","Kendale Lakes, Kendall, Kendall West, Sunset, The Crossings, Westwood Lakes",280,"Dade-33183","Kendall, Miami","1857",1857
"Florida",572,"33184",970,13,"Dade","Dade-33184","Miami","Tamiami, University Park",281,"Dade-33184","Miami","1323",1323
"Florida",574,"33186",972,13,"Dade","Dade-33186","Miami","Country Walk, Kendale Lakes, Kendall, Kendall West, Richmond Heights, Richmond West, The Crossings, The Hammocks, Three Lakes",283,"Dade-33186","Crossings, Miami","2683",2683
"Florida",576,"33189",974,13,"Dade","Dade-33189","Miami","Cutler Bay, Goulds, South Miami Heights",285,"Dade-33189","Cutler Bay, Cutler Ridge, Miami","1028",1028
"Florida",577,"33190",975,13,"Dade","Dade-33190","Miami","Cutler Bay, Goulds",286,"Dade-33190","Cutler Bay, Cutler Ridge, Homestead, Miami, Quail Heights","675",675
"Florida",578,"33193",976,13,"Dade","Dade-33193","Miami","Kendale Lakes, Kendall West, The Hammocks",287,"Dade-33193","Doral, Miami","2337",2337
"Florida",579,"33194",977,13,"Dade","Dade-33194","Miami","Tamiami",288,"Dade-33194","Miami, Sweetwater","839",839
"Florida",581,"33199",982,13,"Dade","Dade-33199","Miami","University Park",290,"Dade-33199","Florida International University, Miami","6",6
"Florida",582,"33301",983,6,"Broward","Broward-33301","Fort Lauderdale","Fort Lauderdale",102,"Broward-33301","Fort Lauderdale, Hollywood, Pembroke Pines, Pompano Beach, Rock Hill, Weston","533",533
"Florida",583,"33304",984,6,"Broward","Broward-33304","Fort Lauderdale","Fort Lauderdale",103,"Broward-33304","Fort Lauderdale, Oakland Park","532",532
"Florida",584,"33305",985,6,"Broward","Broward-33305","Fort Lauderdale","Wilton Manors, Fort Lauderdale, Lazy Lake",104,"Broward-33305","Fort Lauderdale, Oakland Park, Wilton Manors","320",320
"Florida",585,"33306",986,6,"Broward","Broward-33306","Fort Lauderdale","Wilton Manors, Fort Lauderdale, Oakland Park",105,"Broward-33306","Fort Lauderdale, Oakland Park, Wilton Manors","76",76
"Florida",586,"33308",987,6,"Broward","Broward-33308","Fort Lauderdale","Pompano Beach, Lauderdale-by-the-Sea, Sea Ranch Lakes, Fort Lauderdale, Oakland Park",106,"Broward-33308","Fort Lauderdale, Laud-by-the-sea, Lauderdale By The Sea, Oakland Park, Sea Ranch Lakes","643",643
"Florida",587,"33309",988,6,"Broward","Broward-33309","Fort Lauderdale","North Lauderdale, Pompano Beach, Tamarac, Lauderdale Lakes, Fort Lauderdale, Oakland Park",107,"Broward-33309","Coral Springs, Fort Lauderdale, Hollywood, Lauderdale Lakes, North Lauderdale, Oakland Park, Pompano Beach, Tamarac","1667",1667
"Florida",588,"33311",989,6,"Broward","Broward-33311","Fort Lauderdale","Lauderdale Lakes, Wilton Manors, Lauderhill, Fort Lauderdale, Lazy Lake, Oakland Park, Plantation, Boulevard Gardens, Franklin Park, Roosevelt Gardens, Washington Park",108,"Broward-33311","Fort Lauderdale, Hallandale, Lauderdale Lakes, Lauderhill, Oakland Park, Plantation, Pompano Beach, Wilton Manors","3309",3309
